label,filepath,bbox_x0,bbox_y0,bbox_x1,bbox_y1,index
Gray_Catbird,media/birds_1000/00000.png,15.0,44.0,480.0,331.0,train
Sayornis,media/birds_1000/00001.png,131.0,85.0,488.0,326.0,train
Tennessee_Warbler,media/birds_1000/00002.png,40.0,5.0,345.0,239.0,test
White_throated_Sparrow,media/birds_1000/00003.png,99.0,42.0,448.0,344.0,train
Ring_billed_Gull,media/birds_1000/00004.png,104.0,32.0,451.0,284.0,train
Tree_Swallow,media/birds_1000/00005.png,165.0,133.0,423.0,286.0,train
Florida_Jay,media/birds_1000/00006.png,147.0,89.0,360.0,235.0,test
Yellow_breasted_Chat,media/birds_1000/00007.png,99.0,60.0,377.0,353.0,train
Rusty_Blackbird,media/birds_1000/00008.png,86.0,148.0,410.0,300.0,train
House_Sparrow,media/birds_1000/00009.png,137.0,77.0,365.0,277.0,train
Purple_Finch,media/birds_1000/00010.png,94.0,119.0,447.0,299.0,train
Cactus_Wren,media/birds_1000/00011.png,155.0,155.0,326.0,274.0,train
Pomarine_Jaeger,media/birds_1000/00012.png,141.0,75.0,394.0,254.0,train
Pine_Warbler,media/birds_1000/00013.png,120.0,128.0,462.0,324.0,train
Magnolia_Warbler,media/birds_1000/00014.png,30.0,65.0,234.0,305.0,train
White_Pelican,media/birds_1000/00015.png,77.0,43.0,393.0,180.0,train
Least_Tern,media/birds_1000/00016.png,15.0,14.0,488.0,194.0,test
Bronzed_Cowbird,media/birds_1000/00017.png,99.0,113.0,487.0,345.0,train
Red_winged_Blackbird,media/birds_1000/00018.png,74.0,15.0,499.0,331.0,train
Ivory_Gull,media/birds_1000/00019.png,176.0,66.0,471.0,250.0,train
Cape_May_Warbler,media/birds_1000/00020.png,1.0,126.0,410.0,372.0,train
Eared_Grebe,media/birds_1000/00021.png,163.0,86.0,382.0,250.0,train
Ringed_Kingfisher,media/birds_1000/00022.png,77.0,29.0,487.0,316.0,train
Pine_Warbler,media/birds_1000/00023.png,65.0,86.0,388.0,312.0,test
Canada_Warbler,media/birds_1000/00024.png,77.0,116.0,320.0,324.0,train
Rufous_Hummingbird,media/birds_1000/00025.png,239.0,63.0,433.0,269.0,test
Worm_eating_Warbler,media/birds_1000/00026.png,41.0,39.0,224.0,193.0,train
Lazuli_Bunting,media/birds_1000/00027.png,99.0,176.0,251.0,400.0,train
White_throated_Sparrow,media/birds_1000/00028.png,175.0,80.0,343.0,280.0,train
Cape_May_Warbler,media/birds_1000/00029.png,54.0,137.0,277.0,250.0,train
