iso,full_name,region,subregion,pop,lexp,lat,lon,hdi,gdp,gini,happy,cellphone,water_access,lang
SEN,Senegal,Africa,Western Africa,18.932,70.43,14.366667,-14.283333,0.53,4871,38.1,50.93,66,54.93987,pbp|fra|wol
VEN,"Venezuela, Bolivarian Republic of",Americas,South America,28.517,76.18,8,-67,0.709,8899,44.8,57.65,96.8,95.66913,spa|vsl
FIN,Finland,Europe,Northern Europe,5.623,82.84,65,27,0.948,57574,27.7,76.99,156.4,99.44798,fin|swe
USA,United States of America,Americas,Northern America,347.276,79.83,39.828175,-98.5795,0.938,78389,47.7,65.21,91.7,99.72235,eng
LKA,Sri Lanka,Asia,Southern Asia,23.229,78.51,7,81,0.776,14380,39.3,36.02,83.1,90.77437,sin|sin|tam|tam
DOM,Dominican Republic,Americas,Caribbean,11.52,74.35,18.8,-70.2,0.776,25663,39.6,59.21,90.6,86.1939,spa
SGP,Singapore,Asia,South-eastern Asia,5.871,85.63,1.3,103.8,0.946,137906,,66.54,145.5,100,eng|msa|cmn|tam
GAB,Gabon,Africa,Middle Africa,2.593,68.68,-0.683330555,11.5,0.733,19543,38,51.04,93.6,49.20331,fra
BGR,Bulgaria,Europe,Eastern Europe,6.715,74.33,42.75,25.5,0.845,36211,40.3,55.9,137.1,86.00395,bul
TZA,"Tanzania, United Republic of",Africa,Eastern Africa,70.546,68.59,-6.306944444,34.853888888,0.555,3924,40.5,40.42,46.9,26.78297,eng|swa
ECU,Ecuador,Americas,South America,18.29,77.51,-1,-78,0.777,14443,47.3,58.52,98,88.08773,jiv|spa
AFG,Afghanistan,Asia,Southern Asia,43.844,65.11,33,66,0.496,2093,27.8,14.46,36.1,47.47762,ara|bal|prs|pus|tuk|uzb
MWI,Malawi,Africa,Eastern Africa,22.216,66.2,-13,34,0.517,1689,38.5,32.72,21,38.45707,nya|nya|eng|eng|tum|tum
GHA,Ghana,Africa,Western Africa,35.064,67.41,7.9465,-1.0232,0.628,7404,43.5,42.98,68.4,22.67011,eng
AUT,Austria,Europe,Western Europe,9.114,83.17,48,14,0.93,64665,30.2,66.36,146.3,99.97291,asq|deu
DEU,Germany,Europe,Western Europe,84.075,82.13,51,10,0.959,64355,31.7,67.92,109.4,99.22504,deu
BEN,Benin,Africa,Western Africa,14.814,65.71,8.833333333,2.183333333,0.515,4143,37.8,44.2,72.2,17.38065,fra
ZAF,South Africa,Africa,Southern Africa,64.747,65.95,-29,24,0.741,13889,63.1,50.76,96.2,73.8356,afr|afr|afr|eng|eng|eng|nso|nso|nso|sot|sot|sot|sfs|sfs|sfs|nbl|nbl|nbl|ssw|ssw|ssw|tso|tso|tso|tsn|tsn|tsn|ven|ven|ven|xho|xho|xho|zul|zul|zul
AUS,Australia,Oceania,Australia and New Zealand,26.974,83.79,-25,133,0.958,61943,32.4,70.25,101.6,99.99923,asf
CHN,China,Asia,Eastern Asia,1416.096,78.81,35.844722222,103.451944444,0.797,25505,38.2,61.45,63.6,88.06831,cmn
HND,Honduras,Americas,Central America,11.006,72.93,14.633333,-86.816667,0.645,6863,48.2,58.61,113.6,80.26502,spa
BFA,Burkina Faso,Africa,Western Africa,24.075,62.97,12.266667,-2.066667,0.459,2661,47.3,44.62,35.3,21.77792,bib|dyu|mos
LBY,Libya,Africa,Northern Africa,7.459,77.15,27,17,0.721,14636,,59.7,167.7,92.10514,ara
IND,India,Asia,Southern Asia,1463.866,72.4,22.8,83,0.685,10608,35.7,46.76,60.5,63.83039,eng|hin
LBN,Lebanon,Asia,Western Asia,5.849,77.43,33.833333,35.766667,0.752,10820,31.8,35.88,56.8,96.5614,ara
FRA,France,Europe,Western Europe,66.651,83.77,47,2,0.92,56113,32.4,65.57,91.1,98.65001,fra
CRI,Costa Rica,Americas,Central America,5.153,81.33,10,-84,0.833,28390,49.3,73.84,68.7,97.47361,spa
PSE,"Palestine, State of",Asia,Western Asia,5.59,75.85,32,35.25,0.674,3909,,48.51,64.8,97.20523,ara|ara|ara
BGD,Bangladesh,Asia,Southern Asia,175.687,76.33,24.016666666,89.866666666,0.685,8950,32.4,41.14,44.6,51.82404,ben
KWT,Kuwait,Asia,Western Asia,5.026,82.62,29.166667,47.6,0.852,46572,,71.3,135.2,100,ara
SVK,Slovakia,Europe,Eastern Europe,5.475,78.58,49,20,0.88,41978,23.2,62.61,109.9,97.5324,slk
POL,Poland,Europe,Eastern Europe,38.141,79.1,52,19,0.906,47892,30.2,66.85,123.2,98.79661,pol
SAU,Saudi Arabia,Asia,Western Asia,34.566,75.66,23.716667,44.116667,0.9,64966,,69.53,205,95.30723,ara
KHM,Cambodia,Asia,South-eastern Asia,17.848,71.02,12.5,105,0.606,7412,,42.21,56.2,60.41786,khm
BRA,Brazil,Americas,South America,212.812,77.09,-14,-53,0.786,20500,48.9,65.53,101.7,87.67796,por
CHE,Switzerland,Europe,Western Europe,8.967,84.85,46.798562,8.231973,0.97,84311,33.1,69.69,123.2,99.89987,fra|deu|ita|roh
PHL,Philippines,Asia,South-eastern Asia,116.787,72.47,12,123,0.72,11117,42.3,61.84,86.3,78.93576,eng|fil
LVA,Latvia,Europe,Northern Europe,1.854,76.67,57,25,0.889,40852,34.5,62.96,109.9,92.39536,lav
MDA,"Moldova, Republic of",Europe,Eastern Europe,2.996,75.22,47.25,28.516667,0.785,17489,26,58.01,70.2,81.60916,ron
PAN,Panama,Americas,Central America,4.571,81.17,8.616667,-80.366667,0.839,38412,49.8,65.43,183.2,81.0103,spa
IRQ,Iraq,Asia,Western Asia,47.021,73.98,33,43,0.695,12554,29.5,54.75,74.9,95.45492,ara|kur
ITA,Italy,Europe,Southern Europe,59.146,84.04,42.5,12.5,0.915,54774,35.2,62.45,155.7,99.88534,ita
TUN,Tunisia,Africa,Northern Africa,12.349,79.15,34,10,0.746,13136,36.1,45.05,103.2,94.2525,ara
IDN,Indonesia,Asia,South-eastern Asia,285.721,72.25,-2,118,0.728,15391,37.9,56.95,85.8,77.51606,ind
MDG,Madagascar,Africa,Eastern Africa,32.741,67.03,-20,47,0.487,1720,42.6,44.33,34.8,12.1276,fra|mlg
SRB,Serbia,Europe,Southern Europe,6.689,76.66,43.95,20.933333333,0.833,28758,31.9,64.41,136,97.67283,srp
BEL,Belgium,Europe,Western Europe,11.759,82.33,50.641111111,4.668055555,0.951,65096,27.2,69.44,111.1,99.48618,nld|fra|deu
HUN,Hungary,Europe,Eastern Europe,9.632,77.57,47,19,0.87,42499,30,59.65,120.4,97.99088,hun
TUR,Türkiye,Asia,Western Asia,87.685,79.66,39,36,0.853,36993,41.9,54.63,84.2,97.586,tur
TGO,Togo,Africa,Western Africa,9.722,66.47,8.25,1.183333,0.571,3008,42.4,43.65,38.7,17.19931,fra
BHR,Bahrain,Asia,Western Asia,1.643,77.98,26.0675,50.551111,0.899,60839,,59.59,129.2,100,ara
SLE,Sierra Leone,Africa,Western Africa,8.82,63.01,8.5,-12.1,0.467,3256,35.7,34.67,32.1,18.33386,eng|kri
