iso,iso_neighbor
AFG,IRN
AFG,PAK
AFG,CHN
AFG,TJK
AFG,TKM
AFG,UZB
AGO,COD
AGO,GAB
AGO,NAM
AGO,COG
AGO,ZMB
ALB,GRC
ALB,MNE
ALB,MKD
ALB,SRB
AND,FRA
AND,ESP
ARE,IRN
ARE,OMN
ARE,SAU
ARG,BOL
ARG,BRA
ARG,CHL
ARG,PRY
ARG,GBR
ARG,URY
ARM,AZE
ARM,GEO
ARM,IRN
ARM,TUR
ATG,GBR
AUS,IDN
AUS,NCL
AUS,NZL
AUS,PNG
AUS,SLB
AUS,TLS
AUS,VUT
AUT,CZE
AUT,DEU
AUT,HUN
AUT,ITA
AUT,LIE
AUT,SVK
AUT,SVN
AUT,CHE
AZE,ARM
AZE,GEO
AZE,IRN
AZE,RUS
AZE,TUR
BDI,COD
BDI,RWA
BDI,TZA
BEL,FRA
BEL,DEU
BEL,NLD
BEL,LUX
BEN,BFA
BEN,NER
BEN,NGA
BEN,TGO
BFA,BEN
BFA,GHA
BFA,CIV
BFA,MLI
BFA,NER
BFA,TGO
BGD,IND
BGD,MMR
BGR,GRC
BGR,MKD
BGR,ROU
BGR,SRB
BGR,TUR
BHR,IRN
BHR,SAU
BHS,TCA
BHS,GBR
BHS,USA
BIH,HRV
BIH,MNE
BIH,SRB
BLR,LVA
BLR,LTU
BLR,POL
BLR,RUS
BLR,UKR
BLZ,GTM
BLZ,MEX
BOL,ARG
BOL,BRA
BOL,CHL
BOL,PRY
BOL,PER
BRA,ARG
BRA,BOL
BRA,COL
BRA,FRA
BRA,GUF
BRA,GUY
BRA,PRY
BRA,PER
BRA,SUR
BRA,URY
BRA,VEN
BRN,MYS
BTN,IND
BTN,CHN
BWA,NAM
BWA,ZAF
BWA,ZMB
BWA,ZWE
CAF,CMR
CAF,TCD
CAF,COD
CAF,COG
CAF,SSD
CAF,SDN
CAN,USA
CHE,AUT
CHE,FRA
CHE,DEU
CHE,ITA
CHE,LIE
CHL,ARG
CHL,BOL
CHL,PER
CHN,AFG
CHN,BTN
CHN,IND
CHN,JPN
CHN,KAZ
CHN,KGZ
CHN,LAO
CHN,MNG
CHN,MMR
CHN,NPL
CHN,PRK
CHN,PAK
CHN,RUS
CHN,KOR
CHN,TJK
CHN,VNM
CIV,BFA
CIV,GHA
CIV,GIN
CIV,LBR
CIV,MLI
CMR,CAF
CMR,TCD
CMR,GNQ
CMR,GAB
CMR,NGA
CMR,COG
COD,AGO
COD,BDI
COD,CMR
COD,CAF
COD,COG
COD,RWA
COD,SSD
COD,SDN
COD,TZA
COD,UGA
COD,ZMB
COG,AGO
COG,CMR
COG,CAF
COG,COD
COG,GAB
COL,BRA
COL,ECU
COL,NIC
COL,PAN
COL,PER
COL,VEN
COM,FRA
COM,MDG
COM,MOZ
COM,SYC
COM,TZA
CRI,NIC
CRI,PAN
CUB,GBR
CUB,USA
CYP,ISR
CYP,TUR
CYP,GBR
CZE,AUT
CZE,DEU
CZE,POL
CZE,SVK
DEU,AUT
DEU,BEL
DEU,CZE
DEU,DNK
DEU,FRA
DEU,LUX
DEU,POL
DEU,CHE
DJI,ERI
DJI,ETH
DJI,SOM
DMA,VEN
DNK,DEU
DNK,NOR
DNK,SWE
DOM,HTI
DOM,TCA
DOM,USA
DOM,VEN
DZA,ITA
DZA,LBY
DZA,MLI
DZA,MRT
DZA,MAR
DZA,NER
DZA,ESP
DZA,TUN
DZA,ESH
ECU,COL
ECU,PER
EGY,ISR
EGY,LBY
EGY,PSE
EGY,SDN
ERI,DJI
ERI,ETH
ERI,SDN
ESH,DZA
ESH,MRT
ESH,MAR
ESP,AND
ESP,FRA
ESP,GIB
ESP,MAR
ESP,PRT
EST,LVA
EST,RUS
ETH,DJI
ETH,ERI
ETH,KEN
ETH,SOM
ETH,SSD
ETH,SDN
FIN,NOR
FIN,RUS
FIN,SWE
FJI,SLB
FRA,AND
FRA,BEL
FRA,BRA
FRA,DEU
FRA,ITA
FRA,NLD
FRA,LUX
FRA,MCO
FRA,ESP
FRA,SUR
FRA,CHE
FRO,ISL
FSM,PLW
FSM,PNG
FSM,USA
GAB,AGO
GAB,CMR
GAB,GNQ
GAB,COG
GAB,STP
GBR,IRL
GEO,ARM
GEO,AZE
GEO,RUS
GEO,TUR
GHA,BFA
GHA,CIV
GHA,TGO
GIB,ESP
GIN,GNB
GIN,CIV
GIN,LBR
GIN,MLI
GIN,SEN
GIN,SLE
GMB,SEN
GNB,GIN
GNB,SEN
GNQ,CMR
GNQ,GAB
GRC,ALB
GRC,BGR
GRC,MKD
GRC,TUR
GRD,VEN
GRL,CAN
GRL,ISL
GRL,NOR
GTM,BLZ
GTM,SLV
GTM,HND
GTM,MEX
GUF,BRA
GUF,SUR
GUM,FSM
GUM,MNP
GUY,BRA
GUY,SUR
GUY,VEN
HND,SLV
HND,GTM
HND,NIC
HRV,BIH
HRV,HUN
HRV,MNE
HRV,SRB
HRV,SVN
HTI,DOM
HTI,TCA
