iso,year,cell
AFG,2003,0.87978
AFG,2004,2.54662
AFG,2005,4.91711
AFG,2006,9.9133
AFG,2007,18.0167
AFG,2008,29.8268
AFG,2009,38.2289
AFG,2010,36.1187
AFG,2011,47.0152
AFG,2012,50.1967
AFG,2013,53.149
AFG,2014,56.1322
AFG,2015,58.256
AFG,2016,62.2553
AFG,2017,67.0508
AFG,2018,59.8109
AFG,2019,59.6471
AFG,2020,58.0461
AFG,2021,56.6945
AFG,2022,56.2655
AGO,2003,1.95054
AGO,2004,3.9784
AGO,2005,8.35159
AGO,2006,15.2614
AGO,2007,23.8782
AGO,2008,31.3891
AGO,2009,36.1789
AGO,2010,40.3668
AGO,2011,49.8515
AGO,2012,50.7801
AGO,2013,50.7735
AGO,2014,51.7384
AGO,2015,49.3097
AGO,2016,44.5502
AGO,2017,44.0682
AGO,2018,42.4589
AGO,2019,45.8065
AGO,2020,43.7804
AGO,2021,44.3869
AGO,2022,66.6008
ALB,2003,35.278
ALB,2004,40.6495
ALB,2005,49.7453
ALB,2006,62.6026
ALB,2007,76.8284
ALB,2008,62.1342
ALB,2009,83.1929
ALB,2010,91.9299
ALB,2011,106.474
ALB,2012,120.275
ALB,2013,126.772
ALB,2014,115.701
ALB,2015,117.33
ALB,2016,116.284
ALB,2017,125.1
ALB,2018,93.8031
ALB,2019,91.1635
ALB,2020,91.1881
ALB,2021,92.4843
ALB,2022,98.395
AND,2003,74.6812
AND,2004,78.5281
AND,2005,83.3882
AND,2006,86.7048
AND,2007,77.559
AND,2008,76.8932
AND,2009,76.9466
AND,2010,81.1526
AND,2011,83.6224
AND,2012,83.1208
AND,2013,85.0214
AND,2014,89.8341
AND,2015,98.8389
AND,2016,105.474
AND,2017,108.912
AND,2018,109.915
AND,2019,114.953
AND,2020,103.877
AND,2021,119.688
AND,2022,142.426
ARE,2003,70.8971
ARE,2004,83.1597
ARE,2005,97.1993
ARE,2006,110.185
ARE,2007,137.458
ARE,2008,148.473
ARE,2009,159.114
ARE,2010,157.473
ARE,2011,162.894
ARE,2012,183.741
ARE,2013,205.105
ARE,2014,204.192
ARE,2015,206.839
ARE,2016,220.412
ARE,2017,214.701
ARE,2018,214.842
ARE,2019,209.033
ARE,2020,194.468
ARE,2021,186.301
ARE,2022,195.625
ARG,2003,20.4096
ARG,2004,34.8114
ARG,2005,56.4973
ARG,2006,79.5273
ARG,2007,100.962
ARG,2008,115.052
ARG,2009,128.462
ARG,2010,138.252
ARG,2011,145.511
ARG,2012,152.574
ARG,2013,158.191
ARG,2014,142.325
ARG,2015,142.241
ARG,2016,145.147
ARG,2017,139.758
ARG,2018,131.224
ARG,2019,125.303
ARG,2020,121.181
ARG,2021,130.353
ARG,2022,131.484
ARM,2003,3.76374
ARM,2004,6.72643
ARM,2005,10.5791
ARM,2006,42.1272
ARM,2007,63.0765
ARM,2008,48.7164
ARM,2009,74.4012
ARM,2010,131.875
ARM,2011,109.85
ARM,2012,113.697
ARM,2013,114.5
ARM,2014,118.365
ARM,2015,118.599
ARM,2016,117.671
ARM,2017,119.676
ARM,2018,123.0
ARM,2019,124.614
ARM,2020,120.682
ARM,2021,125.395
ARM,2022,130.54
AUS,2003,72.3885
AUS,2004,82.2081
AUS,2005,90.7636
AUS,2006,95.9663
AUS,2007,101.458
AUS,2008,103.507
AUS,2009,101.914
AUS,2010,101.619
AUS,2011,105.824
AUS,2012,106.5
AUS,2013,107.332
AUS,2014,106.206
AUS,2015,107.608
AUS,2016,109.129
AUS,2017,107.8
AUS,2018,110.033
AUS,2019,109.753
AUS,2020,104.93
AUS,2021,105.119
AUS,2022,109.469
AUT,2003,89.5526
AUT,2004,97.7795
AUT,2005,105.296
AUT,2006,112.226
AUT,2007,119.466
AUT,2008,129.949
AUT,2009,137.015
AUT,2010,146.334
AUT,2011,155.155
AUT,2012,161.156
AUT,2013,156.483
AUT,2014,151.531
AUT,2015,155.837
AUT,2016,126.798
AUT,2017,123.415
AUT,2018,124.23
AUT,2019,120.776
AUT,2020,120.132
AUT,2021,121.358
AUT,2022,121.166
AZE,2003,12.5837
AZE,2004,17.156
AZE,2005,26.0781
AZE,2006,38.1512
AZE,2007,51.1876
AZE,2008,73.2222
AZE,2009,85.7487
AZE,2010,99.489
AZE,2011,109.334
AZE,2012,107.989
AZE,2013,106.583
AZE,2014,109.567
AZE,2015,109.682
AZE,2016,103.248
AZE,2017,101.59
AZE,2018,102.987
AZE,2019,106.328
AZE,2020,101.597
AZE,2021,105.694
AZE,2022,107.506
BDI,2003,0.90868
BDI,2004,1.37553
BDI,2005,2.01653
BDI,2006,2.54273
BDI,2007,3.30806
BDI,2008,5.65018
BDI,2009,10.2904
BDI,2010,17.8962
BDI,2011,19.7015
BDI,2012,22.3128
BDI,2013,24.3007
BDI,2014,29.5678
BDI,2015,45.2379
BDI,2016,47.6697
BDI,2017,51.4533
BDI,2018,53.2737
BDI,2019,53.2996
BDI,2020,52.5571
BDI,2021,59.7008
BDI,2022,56.26
BEL,2003,82.9377
BEL,2004,87.6255
BEL,2005,91.6576
BEL,2006,93.3538
BEL,2007,101.06
BEL,2008,105.901
BEL,2009,108.9
BEL,2010,111.132
BEL,2011,113.202
BEL,2012,110.856
BEL,2013,110.349
BEL,2014,113.6
BEL,2015,113.292
BEL,2016,110.749
BEL,2017,99.8304
BEL,2018,100.164
BEL,2019,100.165
BEL,2020,99.9101
BEL,2021,101.463
BEL,2022,101.68
BEN,2003,2.98462
BEN,2004,5.62957
BEN,2005,7.07639
BEN,2006,12.1442
BEN,2007,22.9147
BEN,2008,39.2846
BEN,2009,52.9301
BEN,2010,72.2115
BEN,2011,76.9318
BEN,2012,80.8629
BEN,2013,89.9019
BEN,2014,78.517
BEN,2015,82.0193
BEN,2016,76.0182
BEN,2017,72.8671
BEN,2018,76.408
BEN,2019,81.3235
BEN,2020,85.2391
BEN,2021,94.9183
BEN,2022,105.745
BFA,2003,1.81994
BFA,2004,2.93277
BFA,2005,4.54743
BFA,2006,7.07267
BFA,2007,12.5405
BFA,2008,19.82
BFA,2009,24.3387
BFA,2010,35.2848
BFA,2011,46.1058
BFA,2012,58.0942
BFA,2013,63.5243
BFA,2014,68.5396
BFA,2015,76.9373
BFA,2016,79.6698
BFA,2017,90.2081
BFA,2018,94.622
BFA,2019,97.1499
BFA,2020,102.973
BFA,2021,112.198
BFA,2022,119.463
BGD,2003,0.96829
BGD,2004,1.94647
BGD,2005,6.21909
BGD,2006,13.0671
BGD,2007,23.2247
BGD,2008,29.8647
BGD,2009,34.0413
BGD,2010,44.6275
BGD,2011,54.9307
BGD,2012,62.6684
BGD,2013,74.4595
BGD,2014,80.3128
BGD,2015,82.4276
BGD,2016,84.5595
BGD,2017,93.069
BGD,2018,98.9289
BGD,2019,100.4
BGD,2020,106.002
BGD,2021,110.012
BGD,2022,109.867
BGR,2003,44.8576
BGR,2004,61.0333
BGR,2005,81.1551
BGR,2006,108.025
BGR,2007,130.455
BGR,2008,138.397
BGR,2009,139.621
BGR,2010,137.14
BGR,2011,141.938
BGR,2012,147.338
BGR,2013,144.355
BGR,2014,131.335
BGR,2015,128.103
BGR,2016,125.906
BGR,2017,120.596
BGR,2018,119.395
BGR,2019,116.617
BGR,2020,114.597
BGR,2021,114.912
BGR,2022,116.679
BHR,2003,54.6188
BHR,2004,74.5619
BHR,2005,82.2539
BHR,2006,91.2343
BHR,2007,105.539
BHR,2008,128.559
BHR,2009,118.449
BHR,2010,129.158
BHR,2011,140.351
BHR,2012,174.62
BHR,2013,175.802
BHR,2014,177.4
BHR,2015,183.92
BHR,2016,209.489
BHR,2017,159.547
BHR,2018,139.735
BHR,2019,129.143
BHR,2020,119.412
