imdb_id,title,year,language,genre,director,writer,country,imdb_votes,rating_imdb,rating_rt,rating_mc,runtime_raw,wikipedia_pageid,wikipedia_description,wikipedia_extract,budget_raw,box_office_raw
tt0012349,The Kid,1921,None|English,Comedy|Drama|Family,Charles Chaplin,Charles Chaplin,United States,142797,8.2,100,,68,1346905,1921 silent film by Charlie Chaplin,"The Kid is a 1921 American silent comedy-drama film written, produced, directed by and starring Charlie Chaplin, and features Jackie Coogan as his foundling baby, adopted son and sidekick. This was Chaplin's first full-length film as a director. It was a huge success and was the second-highest-grossing film in 1921. Now considered one of the greatest films of the silent era, it was selected for preservation in the United States National Film Registry by the Library of Congress in 2011.",250000,
tt0012364,The Phantom Carriage,1921,None|Swedish,Drama|Fantasy|Horror,Victor Sjöström,Selma Lagerlöf|Victor Sjöström,Sweden,15311,8.0,100,,106,7329426,1921 film by Victor Sjöström,"The Phantom Carriage is a 1921 Swedish silent film directed by and starring Victor Sjöström, based on the 1912 novel Thy Soul Shall Bear Witness! (Körkarlen) by Swedish author Selma Lagerlöf. In the film, Sjöström plays a drunkard named David Holm who, on the night of New Year's Eve, is compelled by the ghostly driver of Death's carriage to reflect on his past mistakes. Alongside Sjöström, the film's cast includes Hilda Borgström, Tore Svennberg, and Astrid Holm.",,
tt0013257,Häxan,1922,Swedish|Danish,Documentary|Fantasy|Horror,Benjamin Christensen,Benjamin Christensen,Sweden|Denmark,18391,7.6,93,,107,3644898,Swedish 1922 silent horror essay film,"Häxan is a 1922 Swedish-Danish silent horror essay film written and directed by Benjamin Christensen. Consisting partly of documentary-style storytelling as well as dramatized narrative sequences, the film purports to chart the historical roots and superstitions surrounding witchcraft, beginning in the Middle Ages through the 20th century. Based partly on Christensen's own study of the Malleus Maleficarum, a 15th-century German guide for inquisitors, Häxan proposes that such witch-hunts may have stemmed from misunderstandings of mental or neurological disorders, triggering mass hysteria.",2000000,
tt0014429,Safety Last!,1923,English,Action|Comedy|Thriller,Fred C. Newmeyer|Sam Taylor,Hal Roach|Sam Taylor|Tim Whelan,United States,23503,8.1,97,,73,76313,1923 American silent romantic comedy film,"Safety Last! is a 1923 American silent romantic-comedy film starring Harold Lloyd. It includes one of the most famous images from the silent-film era: Lloyd clutching the hands of a large clock as he dangles from the outside of a skyscraper above moving traffic. The film was highly successful and critically hailed, and it cemented Lloyd's status as a major figure in early motion pictures. It is still popular at revivals, and it is viewed today as one of the great film comedies.",121000,
tt0014624,A Woman of Paris: A Drama of Fate,1923,English,Drama|Romance,Charles Chaplin,Charles Chaplin,United States,6548,6.9,94,76,84,546663,1923 drama film by Charlie Chaplin,"A Woman of Paris is a 1923 silent drama film written, produced, and directed by Charlie Chaplin. It stars Edna Purviance as the title character, along with Clarence Geldart, Carl Miller, Lydia Knott, Charles K. French and Adolphe Menjou. A United Artists production, the film was an atypical dramatic work for Chaplin.",351000,634000
tt0015634,Body and Soul,1925,English,Crime|Drama|Thriller,Oscar Micheaux,Oscar Micheaux,United States,1221,6.2,,,102,1506585,1925 film directed by Oscar Micheaux,"Body and Soul is a 1925 race film produced, written, directed, and distributed by Oscar Micheaux and starring Paul Robeson in his motion picture debut. In 2019, the film was selected by the Library of Congress for inclusion in the National Film Registry for being ""culturally, historically, or aesthetically significant"".",,
tt0015768,Master of the House,1925,Danish,Comedy|Drama,Carl Theodor Dreyer,Carl Theodor Dreyer|Svend Rindom,Denmark,2506,7.0,100,,107,11072916,1925 film by Carl Theodor Dreyer,"Master of the House is a 1925 Danish silent drama film directed and written by acclaimed filmmaker Carl Theodor Dreyer. The film marked the debut of Karin Nellemose, and it is regarded by many as a classic of Danish cinema.",,
tt0015841,The Freshman,1925,None|English,Comedy|Family|Romance,Fred C. Newmeyer|Sam Taylor,Sam Taylor|Ted Wilde|John Grey,United States,6373,7.5,95,,76,3831825,1925 film,"The Freshman is a 1925 American silent comedy film that tells the story of a college freshman trying to become popular by joining the school football team. It stars Harold Lloyd, Jobyna Ralston, Brooks Benedict, and James Anderson. It remains one of Lloyd's most successful and enduring films. When the film opened on September 20 at the B.S. Moss Colony Theater on Broadway, Broderick & Felsen's production of Campus Capers was the opening act which was engaged for the full ten weeks of the film's run.",301681,
tt0016142,The Mystic,1925,None|English,Drama,Tod Browning,Tod Browning|Waldemar Young,United States,489,6.7,,,70,17325678,1925 film,"The Mystic is a 1925 American MGM silent drama film directed by Tod Browning, who also co-wrote it with Waldemar Young. It is the only one of nine silent MGM films directed by Browning from 1925 to 1929 that does not star Lon Chaney. The film costars Aileen Pringle and Conway Tearle. Aileen Pringle's gowns in the film were by already famous Romain de Tirtoff. A print of the film exists.",,
tt0017075,The Lodger: A Story of the London Fog,1927,None,Crime|Drama|Mystery,Alfred Hitchcock,Marie Belloc Lowndes|Eliot Stannard|Alfred Hitchcock,United Kingdom,14371,7.3,96,82,70,287408,1927 silent film by Alfred Hitchcock,"The Lodger: A Story of the London Fog is a 1927 British silent thriller film directed by Alfred Hitchcock and starring Marie Ault, Arthur Chesney, June Tripp, Malcolm Keen and Ivor Novello. Hitchcock's third feature film, it was released on 14 February 1927 in London and on 10 June 1928 in New York City. The film is based on the 1913 novel The Lodger by Marie Belloc Lowndes and the play Who Is He? co-written by Belloc Lowndes. Its plot concerns the hunt for a Jack the Ripper-like serial killer in London.",12000,
