character_id,play_id,name,role_description
Mycetes_1Tam,1tam,Mycetes,
Cosroe_1Tam,1tam,Cosroe,
Meander_1Tam,1tam,Meander,
Theridamas_1Tam,1tam,Theridamas,
Menaphon_1Tam,1tam,Menaphon,
Ortygius_1Tam,1tam,Ortygius,
Ceneus_1Tam,1tam,Ceneus,
Tamburlaine_1Tam,1tam,Tamburlaine,
Zenocrate_1Tam,1tam,Zenocrate,
Magnetes_1Tam,1tam,Magnetes,
Techelles_1Tam,1tam,Techelles,
Usumcasane_1Tam,1tam,Usumcasane,
Agydas_1Tam,1tam,Agydas,
SOLDIERS.1_1Tam,1tam,Soldiers 1,
Spy_1Tam,1tam,Spy,
MESSENGERS.1_1Tam,1tam,Messengers 1,
Theridamas_1Tam #Techelles_1Tam #Usumcasane_1Tam #OTHERS_1Tam,1tam,Theridamas,
Bajazeth_1Tam,1tam,Bajazeth,
KingFez_1Tam,1tam,KingFez,
BASSOES.0.1_1Tam,1tam,Bassoes 0 1,
KingArgier_1Tam,1tam,KingArgier,
KingMorocco_1Tam,1tam,KingMorocco,
BASSOES.0.2_1Tam,1tam,Bassoes 0 2,
Zabina_1Tam,1tam,Zabina,
MAIDS.ZABINA.ebea_1Tam,1tam,Maids Zabina Ebea,
Anippe_1Tam,1tam,Anippe,
Soldan_1Tam,1tam,Soldan,
MESSENGERS.2_1Tam,1tam,Messengers 2,
Capolin_1Tam,1tam,Capolin,
KingArabia_1Tam,1tam,KingArabia,
GovernorDamascus_1Tam,1tam,GovernorDamascus,
VIRGINS.1_1Tam,1tam,Virgins 1,
VIRGINS.2_1Tam,1tam,Virgins 2,
VIRGINS.1_1Tam #VIRGINS.2_1Tam #VIRGINS_1Tam,1tam,Virgins 1,
Philemus_1Tam,1tam,Philemus,
Orcanes_2Tam,2tam,Orcanes,
Gazellus_2Tam,2tam,Gazellus,
Uribassa_2Tam,2tam,Uribassa,
Sigismond_2Tam,2tam,Sigismond,
Frederick_2Tam,2tam,Frederick,
Callapine_2Tam,2tam,Callapine,
Almeda_2Tam,2tam,Almeda,
Tamburlaine_2Tam,2tam,Tamburlaine,
Zenocrate_2Tam,2tam,Zenocrate,
Celebinus_2Tam,2tam,Celebinus,
Amyras_2Tam,2tam,Amyras,
Calyphas_2Tam,2tam,Calyphas,
Theridamas_2Tam,2tam,Theridamas,
Usumcasane_2Tam,2tam,Usumcasane,
Techelles_2Tam,2tam,Techelles,
Baldwin_2Tam,2tam,Baldwin,
MESSENGERS.X_2Tam,2tam,Messengers X,
Physician_2Tam,2tam,Physician,
KingJerusalem_2Tam,2tam,KingJerusalem,
KingTrebizond_2Tam,2tam,KingTrebizond,
KingSoria_2Tam,2tam,KingSoria,
SOLDIERS_2Tam,2tam,SOLDIERS,
CaptainBalsera_2Tam,2tam,CaptainBalsera,
Olympia_2Tam,2tam,Olympia,
OlympiaSon_2Tam,2tam,OlympiaSon,
Perdicas_2Tam,2tam,Perdicas,
Usumcasane_2Tam #Techelles_2Tam,2tam,Usumcasane,
CONCUBINES_2Tam,2tam,CONCUBINES,
GovernorBabylon_2Tam,2tam,GovernorBabylon,
Maximus_2Tam,2tam,Maximus,
CITIZENS.1_2Tam,2tam,Citizens 1,
CITIZENS.2_2Tam,2tam,Citizens 2,
KingAmasia_2Tam,2tam,KingAmasia,
Chorus_DrFaust,drfaust,Chorus,
Faustus_DrFaust,drfaust,Faustus,
Wagner_DrFaust,drfaust,Wagner,
GoodAngel_DrFaust,drfaust,GoodAngel,
EvilAngel_DrFaust,drfaust,EvilAngel,
