label,filepath,index
g,media/emnist_10000/00000.png,train
b,media/emnist_10000/00001.png,train
P,media/emnist_10000/00002.png,train
9,media/emnist_10000/00003.png,train
t,media/emnist_10000/00004.png,test
4,media/emnist_10000/00005.png,train
M,media/emnist_10000/00006.png,train
b,media/emnist_10000/00007.png,train
e,media/emnist_10000/00008.png,train
A,media/emnist_10000/00009.png,train
W,media/emnist_10000/00010.png,test
T,media/emnist_10000/00011.png,train
L,media/emnist_10000/00012.png,train
D,media/emnist_10000/00013.png,train
h,media/emnist_10000/00014.png,train
S,media/emnist_10000/00015.png,train
b,media/emnist_10000/00016.png,train
4,media/emnist_10000/00017.png,train
d,media/emnist_10000/00018.png,train
9,media/emnist_10000/00019.png,train
E,media/emnist_10000/00020.png,test
n,media/emnist_10000/00021.png,train
X,media/emnist_10000/00022.png,train
L,media/emnist_10000/00023.png,train
L,media/emnist_10000/00024.png,train
0,media/emnist_10000/00025.png,train
7,media/emnist_10000/00026.png,train
C,media/emnist_10000/00027.png,train
9,media/emnist_10000/00028.png,train
a,media/emnist_10000/00029.png,train
8,media/emnist_10000/00030.png,train
h,media/emnist_10000/00031.png,train
F,media/emnist_10000/00032.png,train
T,media/emnist_10000/00033.png,train
K,media/emnist_10000/00034.png,train
B,media/emnist_10000/00035.png,test
d,media/emnist_10000/00036.png,train
V,media/emnist_10000/00037.png,test
D,media/emnist_10000/00038.png,train
C,media/emnist_10000/00039.png,train
Y,media/emnist_10000/00040.png,train
B,media/emnist_10000/00041.png,test
K,media/emnist_10000/00042.png,train
8,media/emnist_10000/00043.png,train
g,media/emnist_10000/00044.png,test
7,media/emnist_10000/00045.png,train
U,media/emnist_10000/00046.png,train
G,media/emnist_10000/00047.png,train
g,media/emnist_10000/00048.png,train
F,media/emnist_10000/00049.png,train
P,media/emnist_10000/00050.png,train
2,media/emnist_10000/00051.png,test
W,media/emnist_10000/00052.png,train
I,media/emnist_10000/00053.png,test
N,media/emnist_10000/00054.png,test
3,media/emnist_10000/00055.png,test
X,media/emnist_10000/00056.png,train
O,media/emnist_10000/00057.png,train
4,media/emnist_10000/00058.png,test
N,media/emnist_10000/00059.png,train
2,media/emnist_10000/00060.png,train
Y,media/emnist_10000/00061.png,test
G,media/emnist_10000/00062.png,train
3,media/emnist_10000/00063.png,train
C,media/emnist_10000/00064.png,train
O,media/emnist_10000/00065.png,train
0,media/emnist_10000/00066.png,test
V,media/emnist_10000/00067.png,train
V,media/emnist_10000/00068.png,train
K,media/emnist_10000/00069.png,train
b,media/emnist_10000/00070.png,train
Z,media/emnist_10000/00071.png,train
7,media/emnist_10000/00072.png,train
P,media/emnist_10000/00073.png,train
F,media/emnist_10000/00074.png,test
K,media/emnist_10000/00075.png,test
W,media/emnist_10000/00076.png,train
n,media/emnist_10000/00077.png,train
t,media/emnist_10000/00078.png,test
B,media/emnist_10000/00079.png,train
H,media/emnist_10000/00080.png,test
e,media/emnist_10000/00081.png,train
h,media/emnist_10000/00082.png,train
I,media/emnist_10000/00083.png,test
6,media/emnist_10000/00084.png,train
W,media/emnist_10000/00085.png,train
V,media/emnist_10000/00086.png,test
P,media/emnist_10000/00087.png,train
I,media/emnist_10000/00088.png,train
5,media/emnist_10000/00089.png,train
T,media/emnist_10000/00090.png,train
a,media/emnist_10000/00091.png,test
I,media/emnist_10000/00092.png,test
g,media/emnist_10000/00093.png,train
q,media/emnist_10000/00094.png,train
V,media/emnist_10000/00095.png,train
O,media/emnist_10000/00096.png,train
J,media/emnist_10000/00097.png,train
A,media/emnist_10000/00098.png,train
U,media/emnist_10000/00099.png,train
e,media/emnist_10000/00100.png,train
b,media/emnist_10000/00101.png,train
r,media/emnist_10000/00102.png,train
M,media/emnist_10000/00103.png,train
1,media/emnist_10000/00104.png,test
J,media/emnist_10000/00105.png,train
Q,media/emnist_10000/00106.png,train
8,media/emnist_10000/00107.png,train
L,media/emnist_10000/00108.png,train
G,media/emnist_10000/00109.png,test
Z,media/emnist_10000/00110.png,train
d,media/emnist_10000/00111.png,test
f,media/emnist_10000/00112.png,train
5,media/emnist_10000/00113.png,train
h,media/emnist_10000/00114.png,test
5,media/emnist_10000/00115.png,train
7,media/emnist_10000/00116.png,train
V,media/emnist_10000/00117.png,train
R,media/emnist_10000/00118.png,train
J,media/emnist_10000/00119.png,train
W,media/emnist_10000/00120.png,train
J,media/emnist_10000/00121.png,train
N,media/emnist_10000/00122.png,test
h,media/emnist_10000/00123.png,train
T,media/emnist_10000/00124.png,train
M,media/emnist_10000/00125.png,train
Y,media/emnist_10000/00126.png,train
R,media/emnist_10000/00127.png,train
b,media/emnist_10000/00128.png,train
2,media/emnist_10000/00129.png,train
8,media/emnist_10000/00130.png,test
K,media/emnist_10000/00131.png,test
J,media/emnist_10000/00132.png,test
0,media/emnist_10000/00133.png,train
Z,media/emnist_10000/00134.png,test
3,media/emnist_10000/00135.png,test
q,media/emnist_10000/00136.png,test
n,media/emnist_10000/00137.png,train
n,media/emnist_10000/00138.png,train
1,media/emnist_10000/00139.png,train
7,media/emnist_10000/00140.png,test
0,media/emnist_10000/00141.png,train
1,media/emnist_10000/00142.png,test
3,media/emnist_10000/00143.png,train
J,media/emnist_10000/00144.png,test
t,media/emnist_10000/00145.png,train
4,media/emnist_10000/00146.png,train
M,media/emnist_10000/00147.png,train
r,media/emnist_10000/00148.png,train
B,media/emnist_10000/00149.png,test
G,media/emnist_10000/00150.png,test
J,media/emnist_10000/00151.png,train
D,media/emnist_10000/00152.png,train
H,media/emnist_10000/00153.png,train
K,media/emnist_10000/00154.png,train
U,media/emnist_10000/00155.png,test
N,media/emnist_10000/00156.png,train
N,media/emnist_10000/00157.png,train
9,media/emnist_10000/00158.png,test
e,media/emnist_10000/00159.png,test
Z,media/emnist_10000/00160.png,test
a,media/emnist_10000/00161.png,train
O,media/emnist_10000/00162.png,train
6,media/emnist_10000/00163.png,test
J,media/emnist_10000/00164.png,train
0,media/emnist_10000/00165.png,train
E,media/emnist_10000/00166.png,test
2,media/emnist_10000/00167.png,test
f,media/emnist_10000/00168.png,test
N,media/emnist_10000/00169.png,train
d,media/emnist_10000/00170.png,train
6,media/emnist_10000/00171.png,train
J,media/emnist_10000/00172.png,train
Z,media/emnist_10000/00173.png,train
0,media/emnist_10000/00174.png,train
8,media/emnist_10000/00175.png,test
r,media/emnist_10000/00176.png,test
9,media/emnist_10000/00177.png,train
F,media/emnist_10000/00178.png,train
G,media/emnist_10000/00179.png,train
I,media/emnist_10000/00180.png,train
t,media/emnist_10000/00181.png,train
b,media/emnist_10000/00182.png,train
1,media/emnist_10000/00183.png,train
4,media/emnist_10000/00184.png,train
M,media/emnist_10000/00185.png,train
g,media/emnist_10000/00186.png,test
8,media/emnist_10000/00187.png,train
N,media/emnist_10000/00188.png,test
3,media/emnist_10000/00189.png,train
L,media/emnist_10000/00190.png,train
O,media/emnist_10000/00191.png,train
T,media/emnist_10000/00192.png,train
G,media/emnist_10000/00193.png,test
f,media/emnist_10000/00194.png,train
9,media/emnist_10000/00195.png,test
F,media/emnist_10000/00196.png,test
r,media/emnist_10000/00197.png,train
e,media/emnist_10000/00198.png,train
A,media/emnist_10000/00199.png,train
Y,media/emnist_10000/00200.png,train
C,media/emnist_10000/00201.png,train
r,media/emnist_10000/00202.png,test
r,media/emnist_10000/00203.png,train
W,media/emnist_10000/00204.png,train
h,media/emnist_10000/00205.png,train
C,media/emnist_10000/00206.png,train
S,media/emnist_10000/00207.png,train
I,media/emnist_10000/00208.png,test
K,media/emnist_10000/00209.png,train
n,media/emnist_10000/00210.png,test
W,media/emnist_10000/00211.png,test
h,media/emnist_10000/00212.png,train
E,media/emnist_10000/00213.png,train
K,media/emnist_10000/00214.png,train
U,media/emnist_10000/00215.png,train
E,media/emnist_10000/00216.png,test
J,media/emnist_10000/00217.png,test
d,media/emnist_10000/00218.png,train
J,media/emnist_10000/00219.png,train
H,media/emnist_10000/00220.png,train
E,media/emnist_10000/00221.png,train
a,media/emnist_10000/00222.png,train
6,media/emnist_10000/00223.png,train
B,media/emnist_10000/00224.png,train
1,media/emnist_10000/00225.png,train
a,media/emnist_10000/00226.png,test
r,media/emnist_10000/00227.png,train
F,media/emnist_10000/00228.png,train
X,media/emnist_10000/00229.png,test
Q,media/emnist_10000/00230.png,train
O,media/emnist_10000/00231.png,train
2,media/emnist_10000/00232.png,train
T,media/emnist_10000/00233.png,train
h,media/emnist_10000/00234.png,train
M,media/emnist_10000/00235.png,test
0,media/emnist_10000/00236.png,test
r,media/emnist_10000/00237.png,test
8,media/emnist_10000/00238.png,train
E,media/emnist_10000/00239.png,train
V,media/emnist_10000/00240.png,train
q,media/emnist_10000/00241.png,test
G,media/emnist_10000/00242.png,train
d,media/emnist_10000/00243.png,test
T,media/emnist_10000/00244.png,test
8,media/emnist_10000/00245.png,test
P,media/emnist_10000/00246.png,train
A,media/emnist_10000/00247.png,train
S,media/emnist_10000/00248.png,train
1,media/emnist_10000/00249.png,train
F,media/emnist_10000/00250.png,test
O,media/emnist_10000/00251.png,train
8,media/emnist_10000/00252.png,train
J,media/emnist_10000/00253.png,train
0,media/emnist_10000/00254.png,train
h,media/emnist_10000/00255.png,train
f,media/emnist_10000/00256.png,train
b,media/emnist_10000/00257.png,train
A,media/emnist_10000/00258.png,train
n,media/emnist_10000/00259.png,test
1,media/emnist_10000/00260.png,train
L,media/emnist_10000/00261.png,test
M,media/emnist_10000/00262.png,train
e,media/emnist_10000/00263.png,test
8,media/emnist_10000/00264.png,train
P,media/emnist_10000/00265.png,train
F,media/emnist_10000/00266.png,train
g,media/emnist_10000/00267.png,train
H,media/emnist_10000/00268.png,test
P,media/emnist_10000/00269.png,train
R,media/emnist_10000/00270.png,train
8,media/emnist_10000/00271.png,train
3,media/emnist_10000/00272.png,train
X,media/emnist_10000/00273.png,train
1,media/emnist_10000/00274.png,train
H,media/emnist_10000/00275.png,train
N,media/emnist_10000/00276.png,train
J,media/emnist_10000/00277.png,train
K,media/emnist_10000/00278.png,train
S,media/emnist_10000/00279.png,test
S,media/emnist_10000/00280.png,train
M,media/emnist_10000/00281.png,train
I,media/emnist_10000/00282.png,train
3,media/emnist_10000/00283.png,train
R,media/emnist_10000/00284.png,train
1,media/emnist_10000/00285.png,train
O,media/emnist_10000/00286.png,test
X,media/emnist_10000/00287.png,train
h,media/emnist_10000/00288.png,test
8,media/emnist_10000/00289.png,test
U,media/emnist_10000/00290.png,train
e,media/emnist_10000/00291.png,test
M,media/emnist_10000/00292.png,train
P,media/emnist_10000/00293.png,train
h,media/emnist_10000/00294.png,train
S,media/emnist_10000/00295.png,train
a,media/emnist_10000/00296.png,test
R,media/emnist_10000/00297.png,train
C,media/emnist_10000/00298.png,train
R,media/emnist_10000/00299.png,train
a,media/emnist_10000/00300.png,train
t,media/emnist_10000/00301.png,train
L,media/emnist_10000/00302.png,test
D,media/emnist_10000/00303.png,train
f,media/emnist_10000/00304.png,train
R,media/emnist_10000/00305.png,test
r,media/emnist_10000/00306.png,train
9,media/emnist_10000/00307.png,test
9,media/emnist_10000/00308.png,test
A,media/emnist_10000/00309.png,test
3,media/emnist_10000/00310.png,train
M,media/emnist_10000/00311.png,train
9,media/emnist_10000/00312.png,train
3,media/emnist_10000/00313.png,train
r,media/emnist_10000/00314.png,train
J,media/emnist_10000/00315.png,test
Q,media/emnist_10000/00316.png,test
V,media/emnist_10000/00317.png,test
J,media/emnist_10000/00318.png,train
W,media/emnist_10000/00319.png,train
f,media/emnist_10000/00320.png,train
V,media/emnist_10000/00321.png,train
4,media/emnist_10000/00322.png,test
C,media/emnist_10000/00323.png,train
8,media/emnist_10000/00324.png,train
d,media/emnist_10000/00325.png,train
Q,media/emnist_10000/00326.png,train
e,media/emnist_10000/00327.png,train
d,media/emnist_10000/00328.png,train
a,media/emnist_10000/00329.png,train
q,media/emnist_10000/00330.png,train
3,media/emnist_10000/00331.png,test
Z,media/emnist_10000/00332.png,train
4,media/emnist_10000/00333.png,train
Q,media/emnist_10000/00334.png,train
t,media/emnist_10000/00335.png,test
M,media/emnist_10000/00336.png,train
V,media/emnist_10000/00337.png,train
d,media/emnist_10000/00338.png,train
D,media/emnist_10000/00339.png,test
r,media/emnist_10000/00340.png,train
X,media/emnist_10000/00341.png,test
A,media/emnist_10000/00342.png,test
L,media/emnist_10000/00343.png,train
4,media/emnist_10000/00344.png,train
Y,media/emnist_10000/00345.png,test
V,media/emnist_10000/00346.png,train
b,media/emnist_10000/00347.png,test
8,media/emnist_10000/00348.png,test
9,media/emnist_10000/00349.png,train
8,media/emnist_10000/00350.png,train
X,media/emnist_10000/00351.png,train
A,media/emnist_10000/00352.png,train
W,media/emnist_10000/00353.png,train
V,media/emnist_10000/00354.png,train
g,media/emnist_10000/00355.png,train
A,media/emnist_10000/00356.png,train
g,media/emnist_10000/00357.png,train
A,media/emnist_10000/00358.png,train
q,media/emnist_10000/00359.png,train
F,media/emnist_10000/00360.png,train
Q,media/emnist_10000/00361.png,train
U,media/emnist_10000/00362.png,train
H,media/emnist_10000/00363.png,train
X,media/emnist_10000/00364.png,train
8,media/emnist_10000/00365.png,train
D,media/emnist_10000/00366.png,test
V,media/emnist_10000/00367.png,train
a,media/emnist_10000/00368.png,train
7,media/emnist_10000/00369.png,train
e,media/emnist_10000/00370.png,test
8,media/emnist_10000/00371.png,test
h,media/emnist_10000/00372.png,train
R,media/emnist_10000/00373.png,train
K,media/emnist_10000/00374.png,train
G,media/emnist_10000/00375.png,train
I,media/emnist_10000/00376.png,train
Z,media/emnist_10000/00377.png,train
C,media/emnist_10000/00378.png,train
E,media/emnist_10000/00379.png,train
K,media/emnist_10000/00380.png,test
0,media/emnist_10000/00381.png,train
D,media/emnist_10000/00382.png,test
3,media/emnist_10000/00383.png,test
L,media/emnist_10000/00384.png,train
R,media/emnist_10000/00385.png,train
I,media/emnist_10000/00386.png,train
U,media/emnist_10000/00387.png,test
E,media/emnist_10000/00388.png,test
E,media/emnist_10000/00389.png,train
q,media/emnist_10000/00390.png,train
B,media/emnist_10000/00391.png,train
e,media/emnist_10000/00392.png,train
R,media/emnist_10000/00393.png,train
4,media/emnist_10000/00394.png,test
V,media/emnist_10000/00395.png,train
f,media/emnist_10000/00396.png,train
C,media/emnist_10000/00397.png,train
1,media/emnist_10000/00398.png,train
U,media/emnist_10000/00399.png,train
A,media/emnist_10000/00400.png,train
r,media/emnist_10000/00401.png,test
2,media/emnist_10000/00402.png,train
L,media/emnist_10000/00403.png,train
7,media/emnist_10000/00404.png,train
L,media/emnist_10000/00405.png,train
U,media/emnist_10000/00406.png,test
O,media/emnist_10000/00407.png,train
P,media/emnist_10000/00408.png,train
1,media/emnist_10000/00409.png,train
b,media/emnist_10000/00410.png,train
G,media/emnist_10000/00411.png,train
J,media/emnist_10000/00412.png,train
W,media/emnist_10000/00413.png,train
t,media/emnist_10000/00414.png,train
9,media/emnist_10000/00415.png,train
J,media/emnist_10000/00416.png,train
X,media/emnist_10000/00417.png,test
F,media/emnist_10000/00418.png,train
P,media/emnist_10000/00419.png,test
t,media/emnist_10000/00420.png,train
F,media/emnist_10000/00421.png,train
R,media/emnist_10000/00422.png,train
W,media/emnist_10000/00423.png,train
3,media/emnist_10000/00424.png,train
H,media/emnist_10000/00425.png,train
a,media/emnist_10000/00426.png,train
9,media/emnist_10000/00427.png,train
K,media/emnist_10000/00428.png,train
2,media/emnist_10000/00429.png,train
r,media/emnist_10000/00430.png,test
7,media/emnist_10000/00431.png,train
