label,filepath,index
dress,media/fashionmnist_10000/00000.png,test
shirt,media/fashionmnist_10000/00001.png,test
pullover,media/fashionmnist_10000/00002.png,train
pullover,media/fashionmnist_10000/00003.png,test
ankle boot,media/fashionmnist_10000/00004.png,train
pullover,media/fashionmnist_10000/00005.png,train
trouser,media/fashionmnist_10000/00006.png,train
ankle boot,media/fashionmnist_10000/00007.png,train
ankle boot,media/fashionmnist_10000/00008.png,train
pullover,media/fashionmnist_10000/00009.png,test
bag,media/fashionmnist_10000/00010.png,test
coat,media/fashionmnist_10000/00011.png,test
coat,media/fashionmnist_10000/00012.png,train
bag,media/fashionmnist_10000/00013.png,train
ankle boot,media/fashionmnist_10000/00014.png,train
coat,media/fashionmnist_10000/00015.png,test
trouser,media/fashionmnist_10000/00016.png,test
ankle boot,media/fashionmnist_10000/00017.png,train
shirt,media/fashionmnist_10000/00018.png,train
pullover,media/fashionmnist_10000/00019.png,train
sandal,media/fashionmnist_10000/00020.png,train
pullover,media/fashionmnist_10000/00021.png,test
sandal,media/fashionmnist_10000/00022.png,train
t-shirt/top,media/fashionmnist_10000/00023.png,train
ankle boot,media/fashionmnist_10000/00024.png,train
pullover,media/fashionmnist_10000/00025.png,train
dress,media/fashionmnist_10000/00026.png,train
t-shirt/top,media/fashionmnist_10000/00027.png,train
t-shirt/top,media/fashionmnist_10000/00028.png,train
ankle boot,media/fashionmnist_10000/00029.png,train
trouser,media/fashionmnist_10000/00030.png,train
ankle boot,media/fashionmnist_10000/00031.png,train
coat,media/fashionmnist_10000/00032.png,train
trouser,media/fashionmnist_10000/00033.png,train
dress,media/fashionmnist_10000/00034.png,test
bag,media/fashionmnist_10000/00035.png,train
shirt,media/fashionmnist_10000/00036.png,train
coat,media/fashionmnist_10000/00037.png,train
pullover,media/fashionmnist_10000/00038.png,test
coat,media/fashionmnist_10000/00039.png,test
trouser,media/fashionmnist_10000/00040.png,train
pullover,media/fashionmnist_10000/00041.png,train
sandal,media/fashionmnist_10000/00042.png,train
sneaker,media/fashionmnist_10000/00043.png,train
dress,media/fashionmnist_10000/00044.png,train
pullover,media/fashionmnist_10000/00045.png,train
