filepath,call_number,photographer,caption,year,month,state,city,county,longitude,latitude
media/fsac/1a35266v.jpg,LC-DIG-fsac-1a35266,Alfred T. Palmer,"Eight generator units in the generator room of a new addition to TVA&#39;s hydroelectric plant at Wilson Dam, Sheffield vicinity, Ala. Located 260 miles above the mouth of the Tennessee River, the dam has an authorized power installation of 288,000 kw., which can be increased to a possible ultimate of 444,000 kw. The reservoir at the dam adds 377,000 acre-feet of water to controlled storage on the Tennessee River system",1942,6,Alabama,Sheffield,Colbert County,-87.6986407,34.7650887
media/fsac/1a34940v.jpg,LC-DIG-fsac-1a34940,Howard R. Hollem,"Metal tubing at the Consolidated Aircraft Corp. plant, Fort Worth, Texas",1942,10,Texas,Fort Worth,Tarrant County,-97.3208496,32.725409
media/fsac/1a34143v.jpg,LC-DIG-fsac-1a34143,Russell Lee,"The school at Pie Town, New Mexico is held in the Farm Bureau building, which was constructed by cooperative effort",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a35375v.jpg,LC-DIG-fsac-1a35375,Alfred T. Palmer,"Drilling horizontal stabilizers: operating a hand drill, this woman worker at Vultee-Nashville is shown working on the horizontal stabilizer for a Vultee &quot;Vengeance&quot; dive bomber, Tennessee. The &quot;Vengeance&quot; (A-31) was originally designed for the French. It was later adopted by the R.A.F. and still later by the U.S. Army Air Forces. It is a single-engine, low-wing plane, carrying a crew of two men and having six machine guns of varying calibers",1943,2,Tennessee,Nashville,Davidson County,-86.7844432,36.1658899
media/fsac/1a34758v.jpg,LC-DIG-fsac-1a34758,Jack Delano,"Santa Fe R.R. trains going through Cajon Pass in the San Bernardino Mountains, Cajon, Calif. On the right, streamliner &quot;Chief&quot; going west; in the background, on the left, a freight train with a helper engine, going east. Santa Fe trip",1943,3,California,Cajon,San County,-116.9625269,32.7947731
media/fsac/1a34718v.jpg,LC-DIG-fsac-1a34718,Jack Delano,"General view of the city and the Atchison, Topeka, and Santa Fe Railroad, Amarillo, Texas. Santa Fe R.R. trip",1943,3,Texas,Amarillo,Potter County,-101.8312969,35.2219971
media/fsac/1a34400v.jpg,LC-DIG-fsac-1a34400,Marion Post Wolcott,"Houses which have been condemned by the Board of Health but are still occupied by Negro migratory workers, Belle Glade, Fla.",1941,1,Florida,Belle Glade,Palm Beach,-80.6675577,26.6845104
media/fsac/1a34371v.jpg,LC-DIG-fsac-1a34371,Marion Post Wolcott,"Burley tobacco is placed on sticks to wilt after cutting, before it is taken into the barn for drying and curing on the Russell Spears&#39; farm, vicinity of Lexington, Ky.",1940,9,Kentucky,Lexington,Fayette County,-84.4777153,37.9886892
media/fsac/1a34230v.jpg,LC-DIG-fsac-1a34230,Russell Lee,"Shasta dam under construction, California",1942,6,California,Redding,Shasta County,-122.3916754,40.5865396
media/fsac/1a34505v.jpg,LC-DIG-fsac-1a34505,John Collier,"Trampas, New Mexico",1943,1,New Mexico,Trampas,Taos County,-105.7589053,36.1311359
media/fsac/1a34850v.jpg,LC-DIG-fsac-1a34850,Andreas Feininger,"Constructing a building on the site of a new steel mill which will soon turn out steel for the war needs, Columbia Steel Co., Geneva, Utah",1942,11,Utah,Geneva,Utah County,-111.7321503,40.2824529
media/fsac/1a34378v.jpg,LC-DIG-fsac-1a34378,Marion Post Wolcott,"Farmers and townspeople in the center of town on Court Day, Campton, Ky.",1940,9,Kentucky,Campton,Wolfe County,-83.547409,37.7342526
media/fsac/1a35316v.jpg,LC-DIG-fsac-1a35316,Alfred T. Palmer,"Member[s] of the experimental staff at the North American Aviation, Inc., plant, observe wind tunnel tests on an accurate scale model of the B-25 (&quot;Billy Mitchell&quot;) bomber, Inglewood, Calif. This plant produces the battle-tested B-25 bomber, used in General Doolittle&#39;s raid on Tokyo, and the P-51 Mustang fighter plane which was first brought into prominence by the British raid on Dieppe",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a35415v.jpg,LC-DIG-fsac-1a35415,Arthur Siegel,"Hanna furnaces of the Great Lakes Steel Corporation, Detroit, Mich. Coal tower atop coke ovens",1942,11,Michigan,Detroit,Wayne County,-83.0457538,42.331427
media/fsac/1a34741v.jpg,LC-DIG-fsac-1a34741,Jack Delano,"Indian houses and farms on the Laguna Indian reservation, Laguna N[ew] Mex[ico]. In the background is Mount Taylor. The Santa Fe R.R. crosses the reservation",1943,3,New Mexico,Laguna,Cibola County,-107.3828231,35.0367105
media/fsac/1a34549v.jpg,LC-DIG-fsac-1a34549,John Collier,"Civil Air Patrol Base, Bar Harbor, Maine",1943,6,Maine,Bar Harbor (Town),Hancock County,-68.2594596,44.3748015
media/fsac/1a35095v.jpg,LC-DIG-fsac-1a35095,Alfred T. Palmer,Hitler would like this man to go home and forget about the war. A good American non-com at the side machine gun of a huge YB-17 bomber is a man who knows his business and works hard at it,1942,5,Virginia,Hampton,City Hampton,-76.3452218,37.0298687
media/fsac/1a35278v.jpg,LC-DIG-fsac-1a35278,Alfred T. Palmer,"A large electric phosphate smelting furnace used to make elemental phosphorus in a TVA chemical plant in the vicinity of Muscle Shoals, Ala.",1942,6,Alabama,Muscle Shoals,Colbert County,-87.6675292,34.7448112
media/fsac/1a34840v.jpg,LC-DIG-fsac-1a34840,Jack Delano,"Pennsylvania R.R. ore docks, unloading ore from a lake freighter by means of &quot;Hulett&quot; unloaders, Cleveland, Ohio",1943,5,Ohio,Cleveland,Cuyahoga County,-81.6954088,41.4994954
media/fsac/1a34987v.jpg,LC-DIG-fsac-1a34987,Howard R. Hollem,"The Governor&#39;s Palace, Williamsburg, Va. The capitol of the Virginia colony during the 18th century which was reconstructed and restored to its original state by John D. Rockefeller, Jr., during the 1930s",1943,4,Virginia,Williamsburg,City Williamsburg,-76.7074571,37.2707022
media/fsac/1a33862v.jpg,LC-DIG-fsac-1a33862,Jack Delano,"[Douglas Shoe Factory, Spark St., Brockton, Mass.]",1940,12,Massachusetts,Brockton,Plymouth County,-71.0183787,42.0834335
media/fsac/1a34118v.jpg,LC-DIG-fsac-1a34118,Russell Lee,"Les Thomas, homesteader, Pie Town, New Mexico",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a35002v.jpg,LC-DIG-fsac-1a35002,Fenno Jacobs,"An American town and its way of life, Southington, Conn. The Memorial Day parade moving down the main street. The small number of spectators is accounted for by the fact that the town&#39;s war factories did not close. The town hall is in the left foreground. May 23 to May 30",1942,5,Connecticut,Southington,Hartford County,-72.8776013,41.5964869
media/fsac/1a35321v.jpg,LC-DIG-fsac-1a35321,Alfred T. Palmer,"Bomb bay gasoline tanks for long flights of B-25 bombers await assembly in the plant of North American Aviation, Inc., Inglewood, Calif. This plant produces the battle-tested B-25 (&quot;Billy Mitchell&quot;) bomber used in General Doolittle&#39;s raid on Tokyo, and the P-51 (&quot;Mustang&quot;) fighter plane which was first brought into prominence by the British raid on Dieppe",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a34732v.jpg,LC-DIG-fsac-1a34732,Jack Delano,"West bound Santa Fe R.R. freight train waiting in a siding to meet an east bound train, Ricardo, N[ew] Mex[ico]",1943,3,New Mexico,Ricardo,De County,-104.3852546,34.3906257
media/fsac/1a34938v.jpg,LC-DIG-fsac-1a34938,Howard R. Hollem,"Beulah Faith, 20, used to be sales clerk in department store, reaming tools for transport on lathe machine, Consolidated Aircraft Corp., Fort Worth, Texas",1942,10,Texas,Fort Worth,Tarrant County,-97.3208496,32.725409
media/fsac/1a35211v.jpg,LC-DIG-fsac-1a35211,Alfred T. Palmer,"Infantryman with halftrack, a young soldier of the armed forces, holds and sights his Garand rifle like an old timer, Fort Knox, Ky. He likes the piece for its fine firing qualities and its rugged, dependable mechanism.",1942,6,Kentucky,Fort Knox,Hardin County,-85.963629,37.891129
media/fsac/1a35434v.jpg,LC-DIG-fsac-1a35424,John Vachon,"Loading sulphur from vat, Freeport Sulphur Co., Hoskins Mound, Texas",1943,5,Texas,Freeport,Brazoria County,-95.3596617,28.9541368
media/fsac/1a34625v.jpg,LC-DIG-fsac-1a34625,Jack Delano,"General view of a classification yard at C &amp; NW RR&#39;s Proviso yard, Chicago, Ill.",1942,12,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a34857v.jpg,LC-DIG-fsac-1a34857,Andreas Feininger,"[Main Street, Creede, Colorado]",1942,12,Colorado,Creede,Mineral County,-106.9264345,37.8491662
media/fsac/1a35405v.jpg,LC-DIG-fsac-1a35405,Arthur Siegel,"Flag, Detroit, Mich.",1942,7,Michigan,Detroit,Wayne County,-83.0457538,42.331427
media/fsac/1a35210v.jpg,LC-DIG-fsac-1a35210,Alfred T. Palmer,"M-4 tank crews of the United States, Ft. Knox, Ky.",1942,6,Kentucky,Fort Knox,Hardin County,-85.963629,37.891129
media/fsac/1a35292v.jpg,LC-DIG-fsac-1a35292,Alfred T. Palmer,"Another North American B-25 bomber rolls off the final assembly line to join other ships on the outdoor assembly line, North American Aviation, Inc., Inglewood, Calif.",1942,10,California,Inglewood,Los County,-118.3531311,33.9616801
media/fsac/1a35376v.jpg,LC-DIG-fsac-1a35376,Alfred T. Palmer,"Two women workers are shown capping and inspecting tubing which goes into the manufacture of the &quot;Vengeance&quot; (A-31) dive bomber made at Vultee&#39;s Nashville division, Tennessee. The &quot;Vengeance&quot; (A-31) was originally designed for the French. It was later adopted by the R.A.F. and still later by the U.S. Army Air Forces. It is a single-engine, low-wing plane, carrying a crew of two men and having six machine guns of varying calibers",1943,2,Tennessee,Nashville,Davidson County,-86.7844432,36.1658899
media/fsac/1a34545v.jpg,LC-DIG-fsac-1a34545,John Collier,"Civil Air Patrol Base, Bar Harbor, Maine",1943,6,Maine,Bar Harbor (Town),Hancock County,-68.2594596,44.3748015
media/fsac/1a35431v.jpg,LC-DIG-fsac-1a35431,John Vachon,"Southland Paper Co., Kraft pulp mill under construction, Lufkin, Texas",1943,4,Texas,Lufkin,Angelina County,-94.729097,31.3382406
media/fsac/1a34803v.jpg,LC-DIG-fsac-1a34803,Jack Delano,"C. &amp; N.W. R.R., Mrs. Elibia Siematter, working as a sweeper at the roundhouse, Clinton, Iowa",1943,4,Iowa,Clinton,Clinton County,-90.1887379,41.8444735
media/fsac/1a34666v.jpg,LC-DIG-fsac-1a34666,Jack Delano,"Tracks leading into the freight house at Proviso yard. This is said to be the largest covered freight house in the world. C&amp;NWRR, Chicago, Ill.",1943,4,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a34124v.jpg,LC-DIG-fsac-1a34124,Russell Lee,"Pinto bean warehouse, Pie Town, New Mexico",1940,10,New Mexico,Pie Town,Catron County,-108.1347836,34.2983884
media/fsac/1a34647v.jpg,LC-DIG-fsac-1a34647,Jack Delano,"General view of a classification yard at C &amp; NW RR&#39;s Proviso (?) yard, Chicago, Ill.",1942,12,Illinois,Melrose Park,Cook County,-87.8567277,41.9005865
media/fsac/1a35369v.jpg,LC-DIG-fsac-1a35369,Alfred T. Palmer,"This woman worker at the Vultee-Nashville is shown making final adjustments in the wheel well of an inner wing before the installation of the landing gear, Nashville, Tenn. This [is] one of the numerous assembly operations in connection with the mass production of Vultee &quot;Vengeance&quot; dive bombers",1943,2,Tennessee,Nashville,Davidson County,-86.7844432,36.1658899
media/fsac/1a34781v.jpg,LC-DIG-fsac-1a34781,Jack Delano,"General view of part of the South Water Street freight depot of the Illinois Central Railroad, Chicago, Ill.",1943,4,Illinois,Chicago,Cook County,-87.6500523,41.850033
media/fsac/1a34754v.jpg,LC-DIG-fsac-1a34754,Jack Delano,"A east bound Union Pacific railroad freight train waiting in a siding, Alray, Calif. Coming up through Cajon Pass. The Santa Fe tracks are used by the Union Pacific as far east as Daggett, Calif. Santa Fe R.R. trip",1943,3,California,Alray,San County,-117.4828278,34.328336
media/fsac/1a34805v.jpg,LC-DIG-fsac-1a34805,Jack Delano,"C. &amp; N.W. R.R., women wipers employed at the roundhouse cleaning one of the giant &quot;H&quot; class locomotives, Clinton, Iowa",1943,4,Iowa,Clinton,Clinton County,-90.1887379,41.8444735
