character_id,play_id,name,role_description
Hermia_MND,mnd,Hermia,
Lysander_MND,mnd,Lysander,
Helena_MND,mnd,Helena,
Demetrius_MND,mnd,Demetrius,
Theseus_MND,mnd,Theseus,duke of Athens
Hippolyta_MND,mnd,Hippolyta,queen of the Amazons
Egeus_MND,mnd,Egeus,father to Hermia
Philostrate_MND,mnd,Philostrate,master of the revels to Theseus
Bottom_MND,mnd,Nick Bottom,weaver
Quince_MND,mnd,Peter Quince,carpenter
Flute_MND,mnd,Francis Flute,bellows-mender
Snout_MND,mnd,Tom Snout,tinker
Snug_MND,mnd,Snug,joiner
Starveling_MND,mnd,Robin Starveling,tailor
Oberon_MND,mnd,Oberon,king of the Fairies
Titania_MND,mnd,Titania,queen of the Fairies
RobinGoodfellow_MND,mnd,Robin Goodfellow,"a “puck,” or hobgoblin, in Oberon’s service"
FAIRIES.TITANIA.1_MND,mnd,A Fairy,in the service of Titania
FAIRIES.TITANIA.Peaseblossom_MND,mnd,Peaseblossom,
FAIRIES.TITANIA.Cobweb_MND,mnd,Cobweb,
FAIRIES.TITANIA.Mote_MND,mnd,Mote,
FAIRIES.TITANIA.Mustardseed_MND,mnd,Mustardseed,
Helen_AWW,aww,Helen,a gentlewoman of Rossillion
Bertram_AWW,aww,Bertram,Count of Rossillion
Countess_AWW,aww,Countess,Bertram’s mother
Steward_AWW,aww,Steward,
Fool_AWW,aww,Fool,
Page_AWW,aww,Page,
Parolles_AWW,aww,Parolles,companion to Bertram
King_AWW,aww,King,
Lafew_AWW,aww,Lafew,a French lord
LORDS.DUMAINE.1_AWW,aww,First Lord,
LORDS.DUMAINE.2_AWW,aww,Second Lord,
LORDS.COURT_AWW,aww,Lords,
GENTLEMEN.1_AWW,aww,First Gentleman,
GENTLEMEN.2_AWW,aww,Second Gentleman,
GENTLEMEN.3_AWW,aww,Gentleman,a “gentle Astringer”
SOLDIERS.Interpreter_AWW,aww,First Soldier,interpreter
Duke_AWW,aww,Duke,
Widow_AWW,aww,Widow,
Diana_AWW,aww,Diana,the Widow’s daughter
Mariana_AWW,aww,Mariana,the Widow’s neighbor
Antony_JC,ant,Antony,a triumvir of Rome
Cleopatra_Ant,ant,Cleopatra,Queen of Egypt
Octavius_JC,ant,Octavius Caesar,a triumvir of Rome
Octavia_Ant,ant,Octavia,"sister to Caesar, later wife to Antony"
Lepidus_JC,ant,Lepidus,a triumvir of Rome
Enobarbus_Ant,ant,Enobarbus,also called Domitius
Ventidius_Ant,ant,Ventidius,
Silius_Ant,ant,Silius,
Eros_Ant,ant,Eros,
Canidius_Ant,ant,Canidius,
Scarus_Ant,ant,Scarus,
GUARDS.Dercetus_Ant,ant,Dercetus,
Demetrius_Ant,ant,Demetrius,
Philo_Ant,ant,Philo,
Ambassador_Ant,ant,A Schoolmaster,Antony’sAmbassador to Caesar
Charmian_Ant,ant,Charmian,
Iras_Ant,ant,Iras,
Alexas_Ant,ant,Alexas,
Mardian_Ant,ant,Mardian,a Eunuch
Seleucus_Ant,ant,Seleucus,Cleopatra’s treasurer
Diomedes_Ant,ant,Diomedes,
Maecenas_Ant,ant,Maecenas,
Agrippa_Ant,ant,Agrippa,
Taurus_Ant,ant,Taurus,
Thidias_Ant,ant,Thidias,
Dolabella_Ant,ant,Dolabella,
Gallus_Ant,ant,Gallus,
Proculeius_Ant,ant,Proculeius,
Pompey_Ant,ant,Sextus Pompeius,also called Pompey
Menas_Ant,ant,Menas,
Menecrates_Ant,ant,Menecrates,
Varrius_Ant,ant,Varrius,
MESSENGERS_Ant,ant,Messengers,
MESSENGERS.ANTONY.1_Ant,ant,First Messenger to Antony,
MESSENGERS.ANTONY.2_Ant,ant,Second Messenger to Antony,
MESSENGERS.ANTONY.3_Ant,ant,Third Messenger to Antony,
MESSENGERS.CAESAR.1_Ant,ant,First Messenger to Caesar,
MESSENGERS.CAESAR.2_Ant,ant,Second Messenger to Caesar,
MESSENGERS.X.1_Ant,ant,A member of the MESSENGERS group (first instance),
MESSENGERS.X.2_Ant,ant,A member of the MESSENGERS group (second instance),
MESSENGERS.X.3_Ant,ant,A member of the MESSENGERS group (third instance),
MESSENGERS.X.4_Ant,ant,A member of the MESSENGERS group (fourth instance),
MESSENGERS.X.5_Ant,ant,A member of the MESSENGERS group (fifth instance),
SOLDIERS_Ant,ant,Soldiers,
WATCHMEN_Ant,ant,Sentries,
GUARDS_Ant,ant,Guardsmen,
Soothsayer_Ant,ant,A Soothsayer,
SERVANTS_Ant,ant,Servants,
Boy_Ant,ant,A Boy,
CAPTAINS.0.1_Ant,ant,A Captain,
Egyptian_Ant,ant,An Egyptian,
Countryman_Ant,ant,A Countryman,
Orlando_AYL,ayl,Orlando,youngest son of Sir Rowland de Boys
Oliver_AYL,ayl,Oliver,his elder brother
SecondBrother_AYL,ayl,Second Brother,"brother to Orlando and Oliver, named Jaques"
Adam_AYL,ayl,Adam,servant to Oliver and friend to Orlando
Dennis_AYL,ayl,Dennis,servant to Oliver
Rosalind_AYL,ayl,Rosalind,daughter to Duke Senior
Celia_AYL,ayl,Celia,"Rosalind’s cousin, daughter to Duke Frederick"
Touchstone_AYL,ayl,Touchstone,a court Fool
DukeFrederick_AYL,ayl,Duke Frederick,the usurping duke
Charles_AYL,ayl,Charles,wrestler at Duke Frederick’s court
LORDS.FREDERICK.LeBeau_AYL,ayl,Le Beau,a courtier at Duke Frederick’s court
LORDS.FREDERICK.0.1_AYL,ayl,First Lord,
LORDS.FREDERICK.0.2_AYL,ayl,Second Lord,
DukeSenior_AYL,ayl,Duke Senior,"the exiled duke, brother to Duke Frederick"
Jaques_AYL,ayl,Jaques,
LORDS.SENIOR.Amiens_AYL,ayl,Amiens,
LORDS.SENIOR.0.1_AYL,ayl,First Lord,
LORDS.SENIOR.0.2_AYL,ayl,Second Lord,
SERVANTS.1_AYL,ayl,First Page,
SERVANTS.2_AYL,ayl,Second Page,
Corin_AYL,ayl,Corin,a shepherd
Silvius_AYL,ayl,Silvius,a young shepherd in love
Phoebe_AYL,ayl,Phoebe,a disdainful shepherdess
Audrey_AYL,ayl,Audrey,a goat-keeper
William_AYL,ayl,William,a country youth in love with Audrey
OliverMartext_AYL,ayl,Sir Oliver Martext,a parish priest
Hymen_AYL,ayl,Hymen,god of marriage
Coriolanus_Cor,cor,Martius,later Caius Martius Coriolanus
Volumnia_Cor,cor,Volumnia,his mother
Virgilia_Cor,cor,Virgilia,his wife
YoungMartius_Cor,cor,Young Martius,their son
Valeria_Cor,cor,Valeria,friend to Volumnia and Virgilia
Gentlewoman_Cor,cor,Gentlewoman,Volumnia’s attendant
Menenius_Cor,cor,Menenius,patrician
Cominius_Cor,cor,Cominius,patrician and general
Lartius_Cor,cor,Lartius,patrician and military officer
TRIBUNES.Sicinius_Cor,cor,Sicinius,tribune
TRIBUNES.Brutus_Cor,cor,Brutus,tribune
SENATORS.ROMAN_Cor,cor,Senators,
SOLDIERS.ROMAN.Lieutenant_Cor,cor,Lieutenant,
OFFICERS_Cor,cor,Officers,
AEDILES_Cor,cor,Aediles,
Herald_Cor,cor,Herald,
SOLDIERS.ROMAN_Cor,cor,Soldiers,
CITIZENS.ROMAN_Cor,cor,Citizens,
MESSENGERS_Cor,cor,Messengers,
Nicanor_Cor,cor,Roman,
Aufidius_Cor,cor,Aufidius,general of the Volscians
CONSPIRATORS_Cor,cor,Conspirators,
SERVANTS_Cor,cor,Servingmen,
LORDS.VOLSCIAN_Cor,cor,Senators,
SOLDIERS.VOLSCIAN.Lieutenant_Cor,cor,Lieutenant,
SOLDIERS.VOLSCIAN_Cor,cor,Soldiers,
WATCHMEN_Cor,cor,Watch,
CITIZENS.VOLSCIAN_Cor,cor,People,
Adrian_Cor,cor,Volscian,
CITIZENS.ANTIUM.1_Cor,cor,Citizen,
Cymbeline_Cym,cym,Cymbeline,King of Britain
Queen_Cym,cym,Queen,
Imogen_Cym,cym,Imogen,daughter to Cymbeline by his former queen
Posthumus_Cym,cym,Posthumus Leonatus,husband to Imogen
Cloten_Cym,cym,Cloten,son to the present queen by a former husband
Pisanio_Cym,cym,Pisanio,Posthumus’s servant
Cornelius_Cym,cym,Cornelius,a physician in Cymbeline’s court
Philario_Cym,cym,Philario,Posthumus’s host in Rome
Iachimo_Cym,cym,Iachimo,friend to Philario
Frenchman_Cym,cym,Frenchman,friend to Philario
Lucius_Cym,cym,Caius Lucius,a Roman general
Belarius_Cym,cym,Belarius,an exiled nobleman
Guiderius_Cym,cym,Guiderius,
Arviragus_Cym,cym,Arviragus,
ATTENDANTS.CLOTEN_Cym,cym,Lords,
ATTENDANTS.GENTLEMEN_Cym,cym,Gentlemen,
LADIES.IMOGEN_Cym,cym,Lady,
LADIES.QUEEN.0.1_Cym,cym,Lady,
ATTENDANTS.3_Cym,cym,Lord,
SOLDIERS.BRITON.CAPTAINS_Cym,cym,Captains,
JAILERS_Cym,cym,Jailers,
MESSENGERS_Cym,cym,Messengers,
SENATORS_Cym,cym,Senators,
TRIBUNES_Cym,cym,Tribunes,
SOLDIERS.ROMAN.CAPTAINS_Cym,cym,Captains,
Soothsayer_Cym,cym,Soothsayer,
Jupiter_Cym,cym,Jupiter,
GHOSTS.Father_Cym,cym,Sicilius Leonatus,Posthumus’s father
GHOSTS.Mother_Cym,cym,Mother,
GHOSTS.BROTHERS_Cym,cym,Brothers,
Ghost_Ham,ham,The Ghost,
Hamlet_Ham,ham,Hamlet,"Prince of Denmark, son of the late King Hamletand Queen Gertrude"
Gertrude_Ham,ham,Queen Gertrude,"widow of King Hamlet, now married to Claudius"
Claudius_Ham,ham,King Claudius,brother to the late King Hamlet
Ophelia_Ham,ham,Ophelia,
Laertes_Ham,ham,Laertes,her brother
Polonius_Ham,ham,Polonius,"father of Ophelia and Laertes, councillor to King Claudius"
Reynaldo_Ham,ham,Reynaldo,servant to Polonius
Horatio_Ham,ham,Horatio,Hamlet’s friend and confidant
Voltemand_Ham,ham,Voltemand,
Cornelius_Ham,ham,Cornelius,
Rosencrantz_Ham,ham,Rosencrantz,
Guildenstern_Ham,ham,Guildenstern,
Osric_Ham,ham,Osric,
ATTENDANTS.GENTLEMEN_Ham,ham,Gentlemen,
ATTENDANTS.2_Ham,ham,A Lord,
Francisco_Ham,ham,Francisco,
Barnardo_Ham,ham,Barnardo,
Marcellus_Ham,ham,Marcellus,
Fortinbras_Ham,ham,Fortinbras,Prince of Norway
SOLDIERS.FORTINBRAS.Captain_Ham,ham,A Captain in Fortinbras’s army,
AMBASSADORS_Ham,ham,Ambassadors to Denmark from England,
