play_id,title,author,short_title
mnd,A Midsummer Night’s Dream,William Shakespeare,MND
aww,All’s Well That Ends Well,William Shakespeare,AWW
ant,Antony and Cleopatra,William Shakespeare,Ant
ayl,As You Like It,William Shakespeare,AYL
cor,Coriolanus,William Shakespeare,Cor
cym,Cymbeline,William Shakespeare,Cym
ham,Hamlet,William Shakespeare,Ham
1h4,"Henry IV, Part I",William Shakespeare,1H4
2h4,"Henry IV, Part II",William Shakespeare,2H4
h5,Henry V,William Shakespeare,H5
1h6,"Henry VI, Part 1",William Shakespeare,1H6
2h6,"Henry VI, Part 2",William Shakespeare,2H6
3h6,"Henry VI, Part 3",William Shakespeare,3H6
h8,Henry VIII,William Shakespeare,H8
jc,Julius Caesar,William Shakespeare,JC
jn,King John,William Shakespeare,Jn
lr,King Lear,William Shakespeare,Lr
lll,Love’s Labor’s Lost,William Shakespeare,LLL
mac,Macbeth,William Shakespeare,Mac
mm,Measure for Measure,William Shakespeare,MM
ado,Much Ado About Nothing,William Shakespeare,Ado
oth,Othello,William Shakespeare,Oth
per,Pericles,William Shakespeare,Per
r2,Richard II,William Shakespeare,R2
r3,Richard III,William Shakespeare,R3
rom,Romeo and Juliet,William Shakespeare,Rom
err,The Comedy of Errors,William Shakespeare,Err
mv,The Merchant of Venice,William Shakespeare,MV
wiv,The Merry Wives of Windsor,William Shakespeare,Wiv
shr,The Taming of the Shrew,William Shakespeare,Shr
tmp,The Tempest,William Shakespeare,Tmp
tgv,Two Gentlemen of Verona,William Shakespeare,TGV
wt,The Winter's Tale,William Shakespeare,WT
tim,Timon of Athens,William Shakespeare,Tim
tit,Titus Andronicus,William Shakespeare,Tit
tro,Troilus and Cressida,William Shakespeare,Tro
tn,Twelfth Night,William Shakespeare,TN
