id,age,gender,edu_level,race,family_status,ratio_to_poverty,lang_interview
109263,2,Male,NA,Other,NA,4.66,English
109264,13,Female,NA,Mexican American,NA,0.83,English
109265,2,Male,NA,White,NA,3.06,English
109266,29,Female,5,Other,Other,5,English
109269,2,Male,NA,Other Hispanic,NA,0.96,English
109270,11,Female,NA,Black,NA,1.88,English
109271,49,Male,2,White,Other,NA,English
109272,0,Male,NA,Mexican American,NA,0.73,English
109273,36,Male,4,White,Other,0.83,English
109274,68,Male,4,Missing,Other,1.2,English
109275,6,Male,NA,White,NA,3.74,English
109276,0,Male,NA,Black,NA,0,English
109277,12,Female,NA,Mexican American,NA,1.35,Spanish
109278,6,Female,NA,Other Hispanic,NA,NA,Spanish
109279,17,Female,NA,White,NA,1.19,English
109280,2,Female,NA,Mexican American,NA,1.71,English
109281,0,Female,NA,Mexican American,NA,0.94,English
109282,76,Male,5,White,Living with Partner,3.61,English
109284,44,Female,2,Mexican American,Living with Partner,NA,Spanish
109285,16,Male,NA,Black,NA,2.39,English
109286,33,Female,5,Other,Living with Partner,1.36,English
109287,11,Female,NA,White,NA,0.59,English
109288,5,Male,NA,Other Hispanic,NA,0.21,English
109289,2,Male,NA,Missing,NA,0.66,English
109290,68,Female,5,Black,Other,5,English
109291,42,Female,5,Other,Living with Partner,NA,English
109292,58,Male,3,Other Hispanic,Other,1.6,English
109293,44,Male,3,White,Other,0.02,English
109294,0,Female,NA,Missing,NA,5,English
109295,54,Female,1,Mexican American,Living with Partner,5,Spanish
109296,10,Male,NA,Black,NA,2.34,English
109297,30,Female,4,Other,Other,NA,English
109298,68,Male,1,White,Living with Partner,1.75,English
109300,54,Female,5,Other,Living with Partner,5,English
109301,6,Female,NA,Black,NA,0.48,English
109302,11,Female,NA,Black,NA,1.59,English
109303,18,Male,NA,Other,NA,1.03,English
109304,9,Female,NA,White,NA,3.5,English
109305,55,Male,5,Other,Living with Partner,5,English
109306,2,Male,NA,White,NA,1.02,English
109307,47,Male,1,Other,Living with Partner,1.38,English
109308,1,Male,NA,Black,NA,1.59,English
109309,5,Male,NA,Other Hispanic,NA,0.87,English
109310,8,Male,NA,Other,NA,5,English
109312,48,Female,5,White,Living with Partner,5,English
109313,63,Male,4,White,Living with Partner,5,English
109314,0,Male,NA,Black,NA,1.72,English
109315,30,Female,4,Black,Other,2.16,English
109316,62,Female,3,Black,Other,0.07,English
109317,28,Female,4,Black,Other,NA,English
109318,5,Female,NA,Black,NA,0.69,English
109319,22,Male,4,Black,Other,4.93,English
109320,11,Female,NA,Missing,NA,0.91,English
109321,19,Female,NA,Black,NA,0.06,English
109322,45,Female,2,Mexican American,Living with Partner,2.79,Spanish
109323,22,Male,4,Mexican American,Other,2.38,English
109324,49,Female,4,White,Other,2.74,English
109325,7,Male,NA,Other,NA,4.78,English
109326,44,Female,3,White,Living with Partner,5,English
109327,58,Female,5,Mexican American,Living with Partner,4.86,English
109328,2,Male,NA,Missing,NA,0.73,English
109329,0,Male,NA,Black,NA,1.57,English
109330,76,Male,4,Other,Living with Partner,2.37,English
109331,19,Female,NA,Mexican American,NA,0.65,English
109332,33,Male,2,Other Hispanic,Other,NA,English
109333,41,Female,4,Other Hispanic,Living with Partner,5,English
109334,54,Female,2,White,Living with Partner,1,English
109335,55,Female,3,Black,Other,0.11,English
109336,35,Male,5,Mexican American,Living with Partner,3.65,English
109337,48,Female,4,Black,Other,1.18,English
109338,10,Female,NA,Mexican American,NA,2.46,English
109340,44,Male,4,Missing,Living with Partner,1.13,English
109341,5,Female,NA,White,NA,5,English
109342,43,Female,4,White,Other,1.08,English
109344,1,Male,NA,White,NA,0.33,English
109345,0,Male,NA,Missing,NA,0.38,English
109346,23,Female,3,Black,Other,1.15,English
109347,2,Male,NA,Other Hispanic,NA,0.73,English
109348,63,Female,5,White,Living with Partner,5,English
109349,47,Female,5,Mexican American,Living with Partner,NA,English
109350,59,Male,2,White,Other,1.25,English
109351,58,Male,3,Black,Other,0.92,English
109352,10,Male,NA,Missing,NA,5,English
109353,46,Female,1,Other,Living with Partner,NA,English
109356,1,Female,NA,White,NA,NA,English
109357,0,Female,NA,White,NA,5,English
109358,14,Female,NA,White,NA,NA,English
109360,14,Female,NA,Other Hispanic,NA,NA,English
109361,17,Male,NA,Missing,NA,1.04,English
109362,3,Female,NA,Black,NA,0.01,English
109364,8,Female,NA,Missing,NA,1.2,English
109365,49,Female,4,Other Hispanic,Living with Partner,1.15,English
109366,10,Female,NA,Mexican American,NA,5,English
109368,15,Female,NA,Other,NA,1.75,English
109370,4,Male,NA,Black,NA,NA,English
109371,62,Male,5,Other,Living with Partner,4.56,English
109372,13,Female,NA,White,NA,0.46,English
109373,30,Female,4,White,Other,1.22,English
109374,5,Male,NA,Black,NA,1.14,English
109375,2,Male,NA,White,NA,3.98,English
109376,23,Male,4,White,Other,3.71,English
109377,41,Male,3,White,Other,2.57,English
109378,36,Male,5,White,Other,5,English
109379,66,Female,3,White,Living with Partner,1.52,English
109380,15,Male,NA,Mexican American,NA,2.25,English
109381,13,Male,NA,Missing,NA,1.22,English
109382,70,Female,3,Mexican American,Living with Partner,1.7,English
109383,8,Male,NA,White,NA,3.05,English
109384,13,Female,NA,Mexican American,NA,1.36,Spanish
109386,0,Male,NA,White,NA,0.61,English
109387,17,Female,NA,Missing,NA,1.65,English
109388,11,Female,NA,Other Hispanic,NA,1.92,English
109389,56,Male,4,Missing,Living with Partner,5,English
109390,44,Female,5,Black,Living with Partner,2.9,English
109391,56,Female,1,Other Hispanic,Living with Partner,1.64,Spanish
109392,79,Male,1,Mexican American,Other,NA,Spanish
109393,76,Male,4,Black,Other,0.89,English
109394,29,Female,4,Black,Other,0.17,English
109395,56,Male,4,Black,Living with Partner,3.92,English
109396,37,Female,5,Other,Other,2.38,English
109397,47,Female,3,White,Living with Partner,2.77,English
109398,16,Female,NA,Other,NA,NA,English
109399,15,Female,NA,White,NA,0.76,English
109400,9,Male,NA,White,NA,5,English
109403,30,Male,5,Missing,Living with Partner,5,English
